Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T19:25:30.3265899Z,6.8,70.0,4.2,36
2026-04-05T19:25:31.3452752Z,4.8,73.0,6.1,36
2026-04-05T19:25:32.3604644Z,5.2,76.9,7.8,36
2026-04-05T19:25:33.3843879Z,10.7,79.4,9.3,36
2026-04-05T19:25:34.4077594Z,2.7,81.3,11.2,36
2026-04-05T19:25:35.4184824Z,1.4,82.6,12.5,36
2026-04-05T19:25:36.4399670Z,2.1,84.3,14.2,36
2026-04-05T19:25:37.4576186Z,0.6,83.0,15.5,36
2026-04-05T19:25:38.4765950Z,2.9,84.7,17.0,36
2026-04-05T19:25:39.4977375Z,1.1,86.8,19.1,36
2026-04-05T19:25:40.5058909Z,0.8,88.0,20.3,36
2026-04-05T19:25:41.5146279Z,2.1,87.5,22.2,36
2026-04-05T19:25:42.5379348Z,1.9,89.1,23.8,36
2026-04-05T19:25:43.5477740Z,1.0,90.6,25.4,36
2026-04-05T19:25:44.5557367Z,2.5,92.4,27.2,36
2026-04-05T19:25:45.5777339Z,2.1,93.9,28.6,36
2026-04-05T19:25:46.5902250Z,1.7,95.9,30.6,36
2026-04-05T19:25:47.6051570Z,1.7,97.4,32.0,36
2026-04-05T19:25:48.6285717Z,2.1,98.9,33.5,36
2026-04-05T19:25:49.6410757Z,3.3,100.9,35.6,36
2026-04-05T19:25:50.6527706Z,1.4,102.3,36.9,36
2026-04-05T19:25:51.6666409Z,3.7,107.1,38.7,36
2026-04-05T19:25:52.6772526Z,1.9,107.1,40.2,36
2026-04-05T19:25:53.6896304Z,1.7,107.1,41.7,36
2026-04-05T19:25:54.7101433Z,1.3,107.1,43.5,36
2026-04-05T19:25:55.7266878Z,2.9,107.1,44.9,36
2026-04-05T19:25:56.7369423Z,0.8,107.1,46.8,36
2026-04-05T19:25:57.7509878Z,2.3,106.6,48.0,36
2026-04-05T19:25:58.7753585Z,1.1,106.6,49.4,36
2026-04-05T19:25:59.7896005Z,2.5,106.7,51.5,36
2026-04-05T19:26:00.8011210Z,2.3,106.8,53.0,36
2026-04-05T19:26:01.8197462Z,2.5,107.0,54.8,36
2026-04-05T19:26:02.8287115Z,1.0,107.0,56.2,36
2026-04-05T19:26:03.8416429Z,1.5,107.0,57.7,36
2026-04-05T19:26:04.8562804Z,0.8,106.6,59.4,36
2026-04-05T19:26:05.8676664Z,0.8,106.6,60.5,36
2026-04-05T19:26:06.8853278Z,2.1,106.6,62.3,36
2026-04-05T19:26:07.9057106Z,1.7,106.6,63.8,36
2026-04-05T19:26:08.9219982Z,2.1,106.6,65.2,35
2026-04-05T19:26:09.9483373Z,1.3,106.3,66.8,35
2026-04-05T19:26:10.9672332Z,0.8,106.3,68.2,35
2026-04-05T19:26:11.9825189Z,2.1,106.4,70.4,36
2026-04-05T19:26:12.9935792Z,0.8,106.5,71.7,36
2026-04-05T19:26:14.0021893Z,2.3,107.0,73.4,35
2026-04-05T19:26:15.0189194Z,0.4,107.3,74.9,35
2026-04-05T19:26:16.0360970Z,1.3,107.7,76.4,35
2026-04-05T19:26:17.0508712Z,2.3,110.8,78.2,36
2026-04-05T19:26:18.0702186Z,2.1,110.8,79.6,36
2026-04-05T19:26:19.0850917Z,1.9,110.8,81.4,36
2026-04-05T19:26:20.1025085Z,1.5,110.8,82.8,36
2026-04-05T19:26:21.1176160Z,1.0,111.3,84.6,36
2026-04-05T19:26:22.1260139Z,1.0,111.9,86.5,36
2026-04-05T19:26:23.1473774Z,1.3,112.4,87.7,36
2026-04-05T19:26:24.1619492Z,1.9,113.0,89.5,36
2026-04-05T19:26:25.1831603Z,2.9,112.1,91.0,36
2026-04-05T19:26:26.2021153Z,1.3,112.1,92.6,36
2026-04-05T19:26:27.2161093Z,2.3,112.4,94.2,36
2026-04-05T19:26:28.2281337Z,2.7,112.5,95.6,36
